k,Energy (eV)
0.71429,9.069626
0.738102,9.204324
0.76191,9.364872
0.785722,9.536305
0.80953,9.705017
0.833342,9.862844
0.85715,9.998902
0.880962,10.100945
0.90477,10.152648
0.928582,10.144484
0.952389,10.090061
0.976202,10.026114
1.000009,9.998902
,
,
0.66667,10.979881
0.690482,11.011174
0.71429,11.092809
0.738102,11.209818
0.76191,11.345877
0.785722,11.490098
0.80953,11.390776
0.833342,11.272406
0.85715,11.148592
0.880962,11.032944
0.90477,10.940424
0.928582,10.886001
0.952389,10.868313
0.976202,10.869674
1.000009,10.871035
,
,
0.66667,11.770378
0.690482,11.758132
0.71429,11.724117
0.738102,11.666973
0.76191,11.592141
0.785722,11.498261
0.80953,11.63432
0.833342,11.769017
0.85715,11.89283
0.880962,11.998955
0.90477,12.088754
0.928582,12.158142
0.952389,12.208484
0.976202,12.238417
1.000009,12.247941
,
,
1.000009,-9.6193
1.024064,-9.630184
1.048127,-9.660117
1.072181,-9.705017
1.096235,-9.760801
1.120298,-9.824747
1.144348,-9.892777
1.168402,-9.963527
1.192465,-10.035638
1.216519,-10.106388
1.240573,-10.177137
1.264631,-10.246528
1.288686,-10.311835
1.31274,-10.374422
1.336803,-10.432927
1.360857,-10.48735
1.384907,-10.537692
1.40897,-10.58259
1.433024,-10.623408
1.457078,-10.657423
1.481141,-10.684634
1.505195,-10.707765
1.529245,-10.722731
1.553308,-10.733615
1.577362,-10.736337
,
,
1.000009,-9.204323
1.024064,-9.200241
1.048127,-9.190718
1.072181,-9.178473
1.096235,-9.167587
1.120298,-9.159425
1.144348,-9.156703
1.168402,-9.159425
1.192465,-9.167587
1.216519,-9.179832
1.240573,-9.196159
1.264631,-9.215208
1.288686,-9.236978
1.31274,-9.260107
1.336803,-9.284597
1.360857,-9.309088
1.384907,-9.332217
1.40897,-9.353988
1.433024,-9.374396
1.457078,-9.393444
1.481141,-9.408411
1.505195,-9.420655
1.529245,-9.43018
1.553308,-9.435622
1.577362,-9.436983
,
,
1.000009,-5.11578
1.024064,-5.106256
1.048127,-5.077684
1.072181,-5.030064
1.096235,-4.964756
1.120298,-4.8804
1.144348,-4.779717
1.168402,-4.665429
1.192465,-4.553861
1.216519,-4.510323
1.240573,-4.564746
1.264631,-4.64502
1.288686,-4.728015
1.31274,-4.80829
1.336803,-4.884481
1.360857,-4.953871
1.384907,-5.016458
1.40897,-5.073603
1.433024,-5.122584
1.457078,-5.164762
1.481141,-5.198776
1.505195,-5.225987
1.529245,-5.246396
1.553308,-5.257281
1.577362,-5.261363
,
,
1.000009,-4.240928
1.024064,-4.231403
1.048127,-4.204192
1.072181,-4.162014
1.096235,-4.118475
1.120298,-4.102149
1.144348,-4.137523
1.168402,-4.206913
1.192465,-4.270861
1.216519,-4.251812
1.240573,-4.118475
1.264631,-3.938879
1.288686,-3.740235
1.31274,-3.525263
1.336803,-3.298046
1.360857,-3.061305
1.384907,-2.817761
1.40897,-2.568775
1.433024,-2.319789
1.457078,-2.074884
1.481141,-1.840865
1.505195,-1.629975
1.529245,-1.455821
1.553308,-1.338811
1.577362,-1.296633
,
,
1.000009,-3.510297
1.024064,-3.529345
1.048127,-3.582407
1.072181,-3.653158
1.096235,-3.718465
1.120298,-3.744316
1.144348,-3.698056
1.168402,-3.597373
1.192465,-3.464036
1.216519,-3.30893
1.240573,-3.137498
1.264631,-2.953819
1.288686,-2.759256
1.31274,-2.555169
1.336803,-2.344279
1.360857,-2.125226
1.384907,-1.90073
1.40897,-1.670792
1.433024,-1.561946
1.457078,-1.491196
1.481141,-1.427248
1.505195,-1.374186
1.529245,-1.332008
1.553308,-1.306157
1.577362,-1.296633
,
,
1.000009,-2.459929
1.024064,-2.455847
1.048127,-2.446323
1.072181,-2.429996
1.096235,-2.408226
1.120298,-2.378294
1.144348,-2.344279
1.168402,-2.302101
1.192465,-2.255841
1.216519,-2.202779
1.240573,-2.144274
1.264631,-2.081687
1.288686,-2.013658
1.31274,-1.942908
1.336803,-1.868076
1.360857,-1.791884
1.384907,-1.714331
1.40897,-1.636778
1.433024,-1.439493
1.457078,-1.206834
1.481141,-0.975536
1.505195,-0.75104
1.529245,-0.546953
1.553308,-0.389126
1.577362,-0.326539
,
,
1.000009,-2.394621
1.024064,-2.36877
1.048127,-2.295298
1.072181,-2.186452
1.096235,-2.053115
1.120298,-1.906172
1.144348,-1.748345
1.168402,-1.586436
1.192465,-1.423167
1.216519,-1.259897
1.240573,-1.10207
1.264631,-0.948324
1.288686,-0.804103
1.31274,-0.669405
1.336803,-0.600016
1.360857,-0.545593
1.384907,-0.495251
1.40897,-0.450352
1.433024,-0.412256
1.457078,-0.382323
1.481141,-0.359193
1.505195,-0.342866
1.529245,-0.333342
1.553308,-0.3279
1.577362,-0.326539
,
,
1.000009,-1.137445
1.024064,-1.133363
1.048127,-1.123839
1.072181,-1.106152
1.096235,-1.083022
1.120298,-1.053089
1.144348,-1.017714
1.168402,-0.976897
1.192465,-0.930637
1.216519,-0.880295
1.240573,-0.827233
1.264631,-0.771449
1.288686,-0.712944
1.31274,-0.6558
1.336803,-0.546953
1.360857,-0.436746
1.384907,-0.338784
1.40897,-0.254429
1.433024,-0.183678
1.457078,-0.123813
1.481141,-0.077553
1.505195,-0.042178
1.529245,-0.017688
1.553308,-0.004082
1.577362,0.0
,
,
1.000009,0.25851
1.024064,0.265313
1.048127,0.284361
1.072181,0.314294
1.096235,0.357833
1.120298,0.413616
1.144348,0.481645
1.168402,0.560559
1.192465,0.653078
1.216519,0.756482
1.240573,0.872132
1.264631,0.998666
1.288686,1.136084
1.31274,1.283027
1.336803,1.435412
1.360857,1.589157
1.384907,1.729297
1.40897,1.825898
1.433024,1.791884
1.457078,1.615008
1.481141,1.40684
1.505195,1.194589
1.529245,0.991863
1.553308,0.832675
1.577362,0.768728
,
,
1.000009,2.080327
1.024064,2.083048
1.048127,2.092572
1.072181,2.107538
1.096235,2.127947
1.120298,2.155159
1.144348,2.189173
1.168402,2.227269
1.192465,2.270808
1.216519,2.315707
1.240573,2.360606
1.264631,2.400063
1.288686,2.424554
1.31274,2.424554
1.336803,2.387818
1.360857,2.308904
1.384907,2.189173
1.40897,2.04223
1.433024,1.919778
1.457078,1.812293
1.481141,1.643581
1.505195,1.457181
1.529245,1.292551
1.553308,1.180983
1.577362,1.141527
,
,
1.000009,2.478977
1.024064,2.48714
1.048127,2.51027
1.072181,2.548366
1.096235,2.60279
1.120298,2.670819
1.144348,2.755174
1.168402,2.853136
1.192465,2.961983
1.216519,3.083074
1.240573,3.206887
1.264631,3.326618
1.288686,3.428662
1.31274,3.496691
1.336803,3.515738
1.360857,3.443628
1.384907,3.266752
1.40897,3.076271
1.433024,2.960622
1.457078,2.964704
1.481141,3.064026
1.505195,3.205526
1.529245,3.345666
1.553308,3.44907
1.577362,3.488527
,
,
1.000009,3.782412
1.024064,3.785133
1.048127,3.793297
1.072181,3.806903
1.096235,3.82459
1.120298,3.84772
1.144348,3.872211
1.168402,3.899422
1.192465,3.926634
1.216519,3.951124
1.240573,3.971533
